    1 -0.328301886792E+00  0.262121869731E+01  0.262121869731E+01  0.100000000000E+01
    2  0.395186103152E+00  0.127134481998E+01  0.127134481998E+01  0.183075261041E+01
    3  0.185952950622E+01  0.471091506186E+01  0.471091506186E+01  0.787480595586E+00
    4  0.300975401977E+01  0.232447076903E+02  0.232447076903E+02  0.382165620841E+00
    5  0.340664940721E+01  0.347217539106E+02  0.347217539106E+02  0.116506085598E+00
    6  0.370111515742E+01  0.452965830054E+02  0.452965830054E+02  0.795613585875E-01
    7  0.394219452490E+01  0.553808526653E+02  0.553808526653E+02  0.611535950232E-01
    8  0.414930871888E+01  0.651390467441E+02  0.651390467441E+02  0.499153492822E-01
    9  0.433249001254E+01  0.746578925188E+02  0.746578925188E+02  0.422808346080E-01
   10  0.449770431219E+01  0.839901994765E+02  0.839901994765E+02  0.367330282699E-01
   11  0.464883093712E+01  0.931711480037E+02  0.931711480037E+02  0.325085224606E-01
   12  0.478855460499E+01  0.102225669946E+03  0.102225669946E+03  0.291786727715E-01
   13  0.491882106638E+01  0.111172253164E+03  0.111172253164E+03  0.264832689853E-01
   14  0.504109169143E+01  0.120025090766E+03  0.120025090766E+03  0.242547909331E-01
   15  0.515649568986E+01  0.128795381595E+03  0.128795381595E+03  0.223803151149E-01
   16  0.526592609333E+01  0.137492160532E+03  0.137492160532E+03  0.207808468120E-01
   17  0.537010293116E+01  0.146122851955E+03  0.146122851955E+03  0.193994117371E-01
   18  0.546961631257E+01  0.154693651971E+03  0.154693651971E+03  0.181938504868E-01
   19  0.556495669451E+01  0.163209800355E+03  0.163209800355E+03  0.171322774219E-01
   20  0.565653669373E+01  0.171675778955E+03  0.171675778955E+03  0.161901184748E-01
   21  0.574470715412E+01  0.180095459638E+03  0.180095459638E+03  0.153481209774E-01
   22  0.582976921079E+01  0.188472216696E+03  0.188472216696E+03  0.145909818384E-01
   23  0.591198350269E+01  0.196809013698E+03  0.196809013698E+03  0.139063804659E-01
   24  0.599157731341E+01  0.205108471573E+03  0.205108471573E+03  0.132842833456E-01
   25  0.606875018087E+01  0.213372922698E+03  0.213372922698E+03  0.127164350420E-01
   26  0.614367835735E+01  0.221604454366E+03  0.221604454366E+03  0.121959796925E-01
   27  0.621651839429E+01  0.229804944094E+03  0.229804944094E+03  0.117171754855E-01
   28  0.628741005215E+01  0.237976088588E+03  0.237976088588E+03  0.112751764683E-01
   29  0.635647868396E+01  0.246119427698E+03  0.246119427698E+03  0.108658638277E-01
   30  0.642383720369E+01  0.254236364403E+03  0.254236364403E+03  0.104857140058E-01
   31  0.648958772449E+01  0.262328181604E+03  0.262328181604E+03  0.101316945839E-01
   32  0.655382293145E+01  0.270396056323E+03  0.270396056323E+03  0.980118132967E-02
   33  0.661662723961E+01  0.278441071798E+03  0.278441071798E+03  0.949189154621E-02
   34  0.667807777668E+01  0.286464227833E+03  0.286464227833E+03  0.920183009655E-02
   35  0.673824522165E+01  0.294466449706E+03  0.294466449706E+03  0.892924537307E-02
   36  0.679719452421E+01  0.302448595890E+03  0.302448595890E+03  0.867259313416E-02
   37  0.685498552501E+01  0.310411464745E+03  0.310411464745E+03  0.843050661280E-02
   38  0.691167349280E+01  0.318355800379E+03  0.318355800379E+03  0.820177166165E-02
   39  0.696730959167E+01  0.326282297776E+03  0.326282297776E+03  0.798530596991E-02
   40  0.702194128916E+01  0.334191607315E+03  0.334191607315E+03  0.778014159333E-02
   41  0.707561271399E+01  0.342084338760E+03  0.342084338760E+03  0.758541019599E-02
   42  0.712836497087E+01  0.349961064799E+03  0.349961064799E+03  0.740033052451E-02
   43  0.718023641850E+01  0.357822324191E+03  0.357822324191E+03  0.722419772972E-02
   44  0.723126291576E+01  0.365668624572E+03  0.365668624572E+03  0.705637422505E-02
   45  0.728147804046E+01  0.373500444972E+03  0.373500444972E+03  0.689628182931E-02
   46  0.733091328436E+01  0.381318238065E+03  0.381318238065E+03  0.674339498780E-02
   47  0.737959822735E+01  0.389122432200E+03  0.389122432200E+03  0.659723490277E-02
   48  0.742756069360E+01  0.396913433231E+03  0.396913433231E+03  0.645736443366E-02
   49  0.747482689177E+01  0.404691626172E+03  0.404691626172E+03  0.632338365195E-02
   50  0.752142154129E+01  0.412457376695E+03  0.412457376695E+03  0.619492595417E-02
   51  0.756736798634E+01  0.420211032493E+03  0.420211032493E+03  0.607165465322E-02
   52  0.761268829893E+01  0.427952924522E+03  0.427952924522E+03  0.595325998033E-02
   53  0.765740337237E+01  0.435683368128E+03  0.435683368128E+03  0.583945644110E-02
   54  0.770153300615E+01  0.443402664082E+03  0.443402664082E+03  0.572998047784E-02
   55  0.774509598315E+01  0.451111099528E+03  0.451111099528E+03  0.562458839727E-02
   56  0.778811014013E+01  0.458808948845E+03  0.458808948845E+03  0.552305452929E-02
   57  0.783059243205E+01  0.466496474452E+03  0.466496474452E+03  0.542516958712E-02
   58  0.787255899089E+01  0.474173927532E+03  0.474173927532E+03  0.533073920364E-02
   59  0.791402517969E+01  0.481841548718E+03  0.481841548718E+03  0.523958262209E-02
   60  0.795500564202E+01  0.489499568707E+03  0.489499568707E+03  0.515153152254E-02
   61  0.799551434752E+01  0.497148208845E+03  0.497148208845E+03  0.506642896794E-02
   62  0.803556463387E+01  0.504787681656E+03  0.504787681656E+03  0.498412845571E-02
   63  0.807516924542E+01  0.512418191338E+03  0.512418191338E+03  0.490449306278E-02
   64  0.811434036889E+01  0.520039934223E+03  0.520039934223E+03  0.482739467344E-02
   65  0.815308966643E+01  0.527653099203E+03  0.527653099203E+03  0.475271328087E-02
   66  0.819142830613E+01  0.535257868128E+03  0.535257868128E+03  0.468033635413E-02
   67  0.822936699036E+01  0.542854416177E+03  0.542854416177E+03  0.461015826375E-02
   68  0.826691598212E+01  0.550442912198E+03  0.550442912198E+03  0.454207975940E-02
   69  0.830408512939E+01  0.558023519039E+03  0.558023519039E+03  0.447600749454E-02
   70  0.834088388794E+01  0.565596393840E+03  0.565596393840E+03  0.441185359288E-02
   71  0.837732134244E+01  0.573161688321E+03  0.573161688321E+03  0.434953525265E-02
   72  0.841340622623E+01  0.580719549044E+03  0.580719549044E+03  0.428897438470E-02
   73  0.844914693973E+01  0.588270117660E+03  0.588270117660E+03  0.423009728125E-02
   74  0.848455156764E+01  0.595813531142E+03  0.595813531142E+03  0.417283431224E-02
   75  0.851962789503E+01  0.603349922002E+03  0.603349922002E+03  0.411711964655E-02
   76  0.855438342241E+01  0.610879418498E+03  0.610879418498E+03  0.406289099590E-02
   77  0.858882537984E+01  0.618402144826E+03  0.618402144826E+03  0.401008937916E-02
   78  0.862296074017E+01  0.625918221299E+03  0.625918221299E+03  0.395865890534E-02
   79  0.865679623141E+01  0.633427764525E+03  0.633427764525E+03  0.390854657336E-02
   80  0.869033834848E+01  0.640930887560E+03  0.640930887560E+03  0.385970208732E-02
   81  0.872359336408E+01  0.648427700069E+03  0.648427700069E+03  0.381207768569E-02
   82  0.875656733909E+01  0.655918308463E+03  0.655918308463E+03  0.376562798338E-02
   83  0.878926613224E+01  0.663402816041E+03  0.663402816041E+03  0.372030982544E-02
   84  0.882169540928E+01  0.670881323114E+03  0.670881323114E+03  0.367608215148E-02
   85  0.885386065161E+01  0.678353927130E+03  0.678353927130E+03  0.363290586983E-02
   86  0.888576716444E+01  0.685820722789E+03  0.685820722789E+03  0.359074374075E-02
   87  0.891742008446E+01  0.693281802153E+03  0.693281802153E+03  0.354956026783E-02
   88  0.894882438715E+01  0.700737254748E+03  0.700737254748E+03  0.350932159693E-02
   89  0.897998489362E+01  0.708187167666E+03  0.708187167666E+03  0.346999542210E-02
   90  0.901090627715E+01  0.715631625656E+03  0.715631625656E+03  0.343155089797E-02
   91  0.904159306932E+01  0.723070711215E+03  0.723070711215E+03  0.339395855787E-02
   92  0.907204966590E+01  0.730504504670E+03  0.730504504670E+03  0.335719023760E-02
   93  0.910228033232E+01  0.737933084263E+03  0.737933084263E+03  0.332121900406E-02
   94  0.913228920898E+01  0.745356526223E+03  0.745356526223E+03  0.328601908858E-02
   95  0.916208031622E+01  0.752774904844E+03  0.752774904844E+03  0.325156582458E-02
   96  0.919165755904E+01  0.760188292550E+03  0.760188292550E+03  0.321783558913E-02
   97  0.922102473161E+01  0.767596759966E+03  0.767596759966E+03  0.318480574824E-02
   98  0.925018552156E+01  0.775000375976E+03  0.775000375976E+03  0.315245460554E-02
   99  0.927914351403E+01  0.782399207791E+03  0.782399207791E+03  0.312076135415E-02
  100  0.930790219559E+01  0.789793320998E+03  0.789793320998E+03  0.308970603147E-02
