    1 -0.140000000000E+01  0.205600000000E+01  0.205600000000E+01  0.428571428571E+00
    2 -0.170000000000E+01  0.487000000000E+00  0.487000000000E+00  0.176470588235E+00
    3 -0.185000000000E+01 -0.631625000000E+00  0.631625000000E+00  0.810810810811E-01
    4 -0.177500000000E+01 -0.423593750000E-01  0.423593750000E-01  0.422535211268E-01
    5 -0.173750000000E+01  0.229650390625E+00  0.229650390625E+00  0.215827338129E-01
    6 -0.175625000000E+01  0.954978027344E-01  0.954978027344E-01  0.106761565836E-01
    7 -0.176562500000E+01  0.270347595215E-01  0.270347595215E-01  0.530973451327E-02
    8 -0.177031250000E+01 -0.754561233520E-02  0.754561233520E-02  0.264783759929E-02
    9 -0.176796875000E+01  0.977370882034E-02  0.977370882034E-02  0.132567388422E-02
   10 -0.176914062500E+01  0.112133687735E-02  0.112133687735E-02  0.662397880327E-03
   11 -0.176972656250E+01 -0.321031496674E-02  0.321031496674E-02  0.331089283744E-03
   12 -0.176943359375E+01 -0.104403342958E-02  0.104403342958E-02  0.165572051438E-03
   13 -0.176928710938E+01  0.387656182284E-04  0.387656182284E-04  0.827928798123E-04
   14 -0.176936035156E+01 -0.502605430912E-03  0.502605430912E-03  0.413947263118E-04
   15 -0.176932373047E+01 -0.231912787798E-03  0.231912787798E-03  0.206977915456E-04
   16 -0.176930541992E+01 -0.965718051673E-04  0.965718051673E-04  0.103490028735E-04
   17 -0.176929626465E+01 -0.289026485687E-04  0.289026485687E-04  0.517452821238E-05
   18 -0.176929168701E+01  0.493159605552E-05  0.493159605552E-05  0.258727080017E-05
   19 -0.176929397583E+01 -0.119854984506E-04  0.119854984506E-04  0.129363372660E-05
   20 -0.176929283142E+01 -0.352694424510E-05  0.352694424510E-05  0.646817281702E-06
   21 -0.176929225922E+01  0.702327643154E-06  0.702327643154E-06  0.323408745413E-06
   22 -0.176929254532E+01 -0.141230786666E-05  0.141230786666E-05  0.161704346589E-06
   23 -0.176929240227E+01 -0.354990001838E-06  0.354990001838E-06  0.808521798318E-07
   24 -0.176929233074E+01  0.173668848635E-06  0.173668848635E-06  0.404260915188E-07
   25 -0.176929236650E+01 -0.906605688300E-07  0.906605688300E-07  0.202130453508E-07
   26 -0.176929234862E+01  0.415041405688E-07  0.415041405688E-07  0.101065227462E-07
   27 -0.176929235756E+01 -0.245782141306E-07  0.245782141306E-07  0.505326131618E-08
   28 -0.176929235309E+01  0.846296321910E-08  0.846296321910E-08  0.252663066447E-08
